name,region,address,phone,website,logo_url
Greenville Residence,Bakı,"Bakı şəh., Binəqədi ray., Həmdəm Ağayev küç.",+994502351047 *4242,https://aralgroupbaku.com/az/projects/greenville-residence/,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/greenville-logo-04-3.jpg
Star Life Residence,Bakı,"Bakı şəh., Nəsimi ray., Salamzadə küç.,31",+994502351042 *4442,https://aralgroupbaku.com/az/projects/star-life-residence,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/logo-star-life-01.jpg
Mirvari City,Sumqayıt,"Sumqayıt şəh., Bulvar küç., 27",+994502351013,https://aralgroupbaku.com/az/projects/mirvari-city,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/mirvari-logo.jpg
Şəhər İncisi,Bakı,"Bakı şəh., Nərimanov ray., Möhsün Sənani küç.,95,97,99",+994502351047 (*4242),https://www.instagram.com/sheherincisi/,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/seher-incisi-logo.jpg
Çinarlı Park,Bakı,"Bakı şəh., Binəqədi ray., Abay Kunanbayev küç., 78, 31/21-ci məhəllə",+994505005335,https://www.chinarlipark.az/,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/cinarlipark-logo.jpg
Eleven Park,Bakı,"Bakı şəh., Cəlil Məmmədquluzadə küç., 154",+994502711133,https://www.instagram.com/eleven.park/,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/eleven-park-logo-0.jpg
BCR Xətai,Bakı,"Bakı şəh., Ağ Şəhər, Nəcəfqulu Rəfiyev küç., 25",121,https://khatai.bcr.az/,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/bcr-khatai-logotype.jpg
Central Towers,Bakı,"Bakı şəh., Yasamal ray., Balababa Məcidov küç.",*1144; +994509881144,https://srconstruction.az/,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/central-towers-logo.jpg
BCR Olimpik,Bakı,"Bakı şəh., Heydər Əliyev pr., 189",121,https://olimpik.az/,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/bcr-olimpik.jpg
Lake City by Minera,Bakı,Ziya Bünyadov pr 2036,*1505 - +994555060505,https://lakecity.az,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/logo-lake-city-ag-ve-goy-variant-3.png
Bağça Şəhər,Sumqayıt,"Sumqayıt şəhəri, Sülh küçəsi, 1-ci döngə","*4224, +994502351007",https://aralgroupbaku.com/az/projects/bagca-seher,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/bagca.png
"City Garden,  Highland Residence",Bakı,"Nəsimi rayonu, Hüseynbala Əliyev küç, 3224-cü məhəllə, Baku, Azerbaijan",*1544,https://www.instagram.com/kristalazerbaijan/,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/01-0.jpg
Park Xırdalan,Sumqayıt,Sumqayıt 10-cu mikrorayon,*1544,https://www.instagram.com/kristalazerbaijan/,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/01-1.jpg
Boulevard Palace,Bakı,"Gülbala Əliyev küçəsi, 9, Bakı, Azərbaycan",+994 50 299 61 60,https://www.instagram.com/boulevard.palace/,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/02-0.jpg
